route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible,bikes_allowed
RobinsonSat,2,RobinsonSat-IB-PM-2,,1,RobinsonSat-IB-PM-2,1,2
RobinsonSat,2,RobinsonSat-IB-PM-3,,1,RobinsonSat-IB-PM-3,1,2
SteubenvilleSat,2,SteubenvilleSat-OB-Full-1,,0,SteubenvilleSat-OB-Full-1,1,2
SteubenvilleSat,2,SteubenvilleSat-OB-Short-2,,0,SteubenvilleSat-OB-Short-1,1,2
SteubenvilleSat,2,SteubenvilleSat-OB-Full-3,,0,SteubenvilleSat-OB-Full-1,1,2
SteubenvilleSat,2,SteubenvilleSat-OB-Short-4,,0,SteubenvilleSat-OB-Short-1,1,2
SteubenvilleSat,2,SteubenvilleSat-OB-Full--5,,0,SteubenvilleSat-OB-Full-1,1,2
SteubenvilleSat,2,SteubenvilleSat-IB-Full-1,,1,SteubenvilleSat-IB-Full-1,1,2
SteubenvilleSat,2,SteubenvilleSat-IB-Short-2,,1,SteubenvilleSat-IB-Short-1,1,2
SteubenvilleSat,2,SteubenvilleSat-IB-Full-3,,1,SteubenvilleSat-IB-Full-1,1,2
SteubenvilleSat,2,SteubenvilleSat-IB-Short-4,,1,SteubenvilleSat-IB-Short-1,1,2
SteubenvilleSat,2,SteubenvilleSat-IB-Full-5,,1,SteubenvilleSat-IB-Full-1,1,2
WintervilleSat,2,WintervilleSat-OB-FULL-1,,0,WintervilleSat-OB-FULL,1,2
WintervilleSat,2,WintervilleSat-OB-FULL-2,,0,WintervilleSat-OB-FULL,1,2
WintervilleSat,2,WintervilleSat-OB-FULL-3,,0,WintervilleSat-OB-FULL,1,2
WintervilleSat,2,WintervilleSat-OB-FULL-4,,0,WintervilleSat-OB-FULL,1,2
WintervilleSat,2,WintervilleSat-IB-FULL-1,,1,WintervilleSat-IB-FULL,1,2
WintervilleSat,2,WintervilleSat-IB-FULL-2,,1,WintervilleSat-IB-FULL,1,2
WintervilleSat,2,WintervilleSat-IB-FULL-3,,1,WintervilleSat-IB-FULL,1,2
WintervilleSat,2,WintervilleSat-IB-FULL-4,,1,WintervilleSat-IB-FULL,1,2
FirstFridays,first_fri,Ffridays-99-Evening-1,,0,FFShuttle-Evening,1,2
FirstFridays,first_fri,Ffridays-99-Evening-2,,0,FFShuttle-Evening,1,2
FirstFridays,first_fri,Ffridays-99-Evening-3,,0,FFShuttle-Evening,1,2
FirstFridays,first_fri,Ffridays-99-Night-1,,0,FFShuttle-Night,1,2
FirstFridays,first_fri,Ffridays-99-Night-2,,0,FFShuttle-Night,1,2
